[8, 6, '1', 'Explanation']
[6, 6, '-1', 'Research']
[2, 3, '-1', 'Research']
[3, 7, '1', 'Others']
[11, 9, '1', 'Case']
[12, 3, '1', 'Case']
[6, 1, '1', 'Explanation']
[9, 9, '1', 'Research']
[3, 14, '1', 'Explanation']
[9, 10, '-1', 'Others']
[10, 5, '-1', 'Research']
[2, 5, '-1', 'Research']
[11, 7, '1', 'Case']
[11, 12, '1', 'Case']
[4, 15, '1', 'Others']
[15, 13, '-1', 'Expert']
[7, 14, '-1', 'Explanation']
[3, 6, '1', 'Explanation']
[5, 1, '1', 'Explanation']
[11, 7, '1', 'Research']
[11, 9, '1', 'Research']
[14, 5, '1', 'Research']
[14, 14, '1', 'Explanation']
[4, 10, '-1', 'Expert']
[1, 12, '1', 'Explanation']
[11, 3, '1', 'Research']
[12, 9, '1', 'Explanation']
[10, 13, '-1', 'Expert']
[11, 4, '-1', 'Research']
[3, 14, '-1', 'Others']
[14, 11, '-1', 'Others']
[9, 5, '-1', 'Case']
[8, 7, '1', 'Case']
[6, 15, '1', 'Expert']
[6, 2, '1', 'Explanation']
[10, 5, '-1', 'Case']
[10, 3, '-1', 'Expert']
[11, 8, '-1', 'Explanation']
[14, 10, '1', 'Expert']
[3, 2, '1', 'Case']
[3, 9, '-1', 'Others']
[12, 11, '-1', 'Others']
[6, 9, '1', 'Research']
[7, 2, '-1', 'Case']
[10, 1, '1', 'Expert']
[8, 14, '1', 'Expert']
[10, 11, '1', 'Others']
[1, 8, '-1', 'Explanation']
[4, 15, '-1', 'Expert']
[6, 8, '-1', 'Expert']
[4, 8, '1', 'Others']
[9, 1, '1', 'Others']
[15, 1, '1', 'Explanation']
[11, 10, '-1', 'Explanation']
[15, 8, '1', 'Expert']
[3, 1, '-1', 'Case']
[4, 3, '1', 'Case']
[1, 10, '1', 'Others']
[15, 10, '1', 'Expert']
[4, 3, '1', 'Case']
[1, 14, '1', 'Research']
[8, 3, '-1', 'Expert']
[3, 4, '-1', 'Expert']
[10, 11, '-1', 'Explanation']
[13, 4, '1', 'Case']
[2, 11, '1', 'Case']
[12, 14, '1', 'Expert']
[8, 13, '1', 'Case']
[1, 7, '-1', 'Case']
[5, 8, '-1', 'Explanation']
[5, 3, '1', 'Expert']
[8, 14, '-1', 'Others']
[4, 6, '1', 'Research']
[2, 11, '1', 'Research']
[15, 4, '1', 'Others']
[2, 11, '-1', 'Others']
[10, 14, '-1', 'Case']
[9, 4, '1', 'Expert']
[9, 8, '-1', 'Others']
[15, 9, '-1', 'Expert']
[15, 15, '-1', 'Others']
[13, 5, '-1', 'Expert']
[3, 11, '-1', 'Explanation']
[9, 10, '-1', 'Expert']
[5, 14, '1', 'Others']
[13, 11, '-1', 'Others']
[13, 1, '1', 'Others']
[12, 13, '1', 'Explanation']
[8, 13, '-1', 'Research']
[9, 10, '-1', 'Expert']
[12, 14, '1', 'Case']
[11, 13, '-1', 'Expert']
[2, 4, '-1', 'Expert']
[12, 12, '-1', 'Others']
[7, 11, '1', 'Explanation']
[1, 4, '-1', 'Case']
[5, 3, '-1', 'Case']
[11, 8, '-1', 'Explanation']
[9, 6, '1', 'Explanation']
[12, 10, '-1', 'Others']
[14, 3, '-1', 'Explanation']
[12, 1, '-1', 'Others']
[14, 14, '-1', 'Case']
[13, 9, '1', 'Expert']
[3, 12, '1', 'Expert']
[8, 13, '1', 'Others']
[8, 1, '-1', 'Others']
[14, 5, '1', 'Research']
[6, 4, '1', 'Research']
[13, 3, '1', 'Research']
[1, 2, '-1', 'Others']
[6, 4, '-1', 'Others']
[8, 10, '1', 'Explanation']
[5, 4, '-1', 'Research']
[8, 9, '1', 'Case']
[13, 4, '1', 'Expert']
[6, 11, '1', 'Expert']
[10, 14, '1', 'Research']
[3, 15, '-1', 'Expert']
[6, 7, '1', 'Others']
[1, 9, '1', 'Expert']
[8, 3, '-1', 'Case']
[15, 15, '-1', 'Expert']
[12, 7, '-1', 'Others']
[6, 11, '-1', 'Expert']
[11, 15, '1', 'Research']
[1, 7, '1', 'Explanation']
[1, 9, '-1', 'Explanation']
[13, 7, '1', 'Explanation']
[5, 13, '-1', 'Explanation']
[10, 13, '-1', 'Research']
[11, 1, '1', 'Explanation']
[12, 3, '1', 'Others']
[3, 6, '1', 'Case']
[6, 2, '1', 'Explanation']
[12, 1, '-1', 'Expert']
[6, 6, '-1', 'Explanation']
[13, 8, '1', 'Others']
[14, 11, '-1', 'Others']
[11, 11, '-1', 'Research']
[5, 3, '1', 'Research']
[2, 9, '-1', 'Expert']
[9, 9, '-1', 'Research']
[15, 8, '1', 'Research']
[2, 11, '1', 'Explanation']
[8, 7, '-1', 'Research']
[9, 9, '1', 'Explanation']
[1, 6, '-1', 'Others']
[11, 10, '1', 'Research']
[7, 9, '-1', 'Others']
[15, 12, '-1', 'Expert']
[4, 2, '-1', 'Research']
[6, 10, '1', 'Case']
[5, 3, '-1', 'Expert']
[15, 5, '1', 'Research']
[6, 7, '-1', 'Case']
[5, 9, '1', 'Case']
[10, 1, '-1', 'Research']
[3, 7, '1', 'Case']
[3, 13, '1', 'Others']
[9, 7, '-1', 'Case']
[2, 14, '1', 'Expert']
[5, 6, '1', 'Expert']
[4, 12, '1', 'Explanation']
[1, 5, '-1', 'Expert']
[6, 3, '1', 'Explanation']
[3, 14, '1', 'Case']
[1, 2, '1', 'Research']
[5, 2, '-1', 'Research']
[14, 15, '1', 'Research']
[7, 13, '-1', 'Others']
[2, 4, '1', 'Expert']
[7, 10, '1', 'Others']
[5, 9, '-1', 'Others']
[13, 15, '1', 'Explanation']
[2, 15, '-1', 'Others']
[4, 1, '1', 'Explanation']
[1, 15, '-1', 'Others']
[3, 8, '-1', 'Research']
[12, 3, '-1', 'Research']
[4, 7, '1', 'Others']
[12, 13, '-1', 'Others']
[7, 11, '1', 'Explanation']
[3, 2, '-1', 'Case']
[14, 15, '1', 'Case']
[2, 8, '1', 'Explanation']
[5, 10, '-1', 'Case']
[9, 13, '-1', 'Case']
[1, 14, '-1', 'Case']
[4, 6, '1', 'Others']
[5, 10, '-1', 'Research']
[2, 6, '-1', 'Explanation']
[13, 15, '-1', 'Others']
[4, 8, '1', 'Others']
[4, 12, '-1', 'Expert']
[14, 2, '1', 'Research']
[12, 2, '1', 'Explanation']
[13, 12, '-1', 'Case']
[8, 14, '1', 'Others']
[13, 2, '1', 'Expert']
[3, 2, '-1', 'Others']
[6, 7, '-1', 'Research']
[10, 8, '1', 'Expert']
[7, 3, '-1', 'Expert']
[11, 12, '1', 'Research']
[4, 2, '-1', 'Expert']
[14, 10, '1', 'Case']
[11, 3, '1', 'Research']
[4, 13, '1', 'Expert']
[4, 3, '1', 'Expert']
[5, 1, '-1', 'Expert']
[2, 1, '1', 'Case']
[6, 4, '1', 'Research']
[9, 5, '-1', 'Explanation']
[15, 11, '1', 'Expert']
[5, 6, '-1', 'Case']
[15, 12, '-1', 'Explanation']
[13, 1, '-1', 'Research']
[1, 11, '1', 'Explanation']
[5, 9, '-1', 'Research']
[5, 9, '1', 'Case']
[11, 1, '1', 'Others']
[15, 9, '1', 'Expert']
[6, 14, '1', 'Research']
[6, 6, '-1', 'Others']
[10, 11, '-1', 'Research']
[10, 1, '1', 'Others']
[4, 3, '-1', 'Case']
[8, 12, '1', 'Research']
[11, 10, '-1', 'Others']
[1, 4, '1', 'Research']
[15, 1, '1', 'Expert']
[7, 6, '1', 'Case']
[6, 15, '1', 'Case']
[12, 1, '-1', 'Explanation']
[11, 3, '-1', 'Expert']
[15, 6, '-1', 'Expert']
[11, 4, '1', 'Others']
[13, 3, '1', 'Expert']
[5, 14, '-1', 'Others']
[5, 9, '1', 'Expert']
[8, 5, '-1', 'Others']
[4, 5, '-1', 'Research']
[10, 6, '1', 'Explanation']
[7, 3, '1', 'Expert']
[3, 12, '-1', 'Case']
[6, 14, '-1', 'Research']
[12, 3, '1', 'Research']
[4, 5, '-1', 'Case']
[2, 5, '1', 'Expert']
[8, 14, '-1', 'Explanation']
[8, 14, '-1', 'Research']
[11, 7, '-1', 'Case']
[9, 7, '1', 'Others']
[2, 10, '1', 'Explanation']
[1, 12, '1', 'Case']
[9, 15, '-1', 'Expert']
[3, 6, '1', 'Explanation']
[14, 7, '-1', 'Explanation']
[1, 1, '1', 'Others']
[6, 8, '1', 'Others']
[3, 5, '-1', 'Case']
[11, 7, '1', 'Expert']
[15, 4, '-1', 'Research']
[13, 8, '-1', 'Others']
[13, 15, '-1', 'Others']
[15, 6, '1', 'Research']
[12, 5, '-1', 'Expert']
[2, 3, '1', 'Explanation']
[3, 9, '1', 'Research']
[13, 12, '1', 'Explanation']
[13, 4, '-1', 'Case']
[5, 3, '1', 'Case']
[3, 1, '1', 'Explanation']
[3, 7, '1', 'Case']
[7, 2, '1', 'Others']
[2, 10, '-1', 'Case']
[2, 12, '-1', 'Expert']
[7, 13, '-1', 'Explanation']
[6, 15, '-1', 'Expert']
[8, 6, '1', 'Research']
[1, 6, '1', 'Others']
[15, 6, '-1', 'Explanation']
[2, 5, '1', 'Explanation']
[10, 15, '1', 'Expert']
[4, 7, '-1', 'Research']
[13, 15, '-1', 'Expert']
[5, 2, '1', 'Others']
[7, 9, '1', 'Research']
[3, 6, '-1', 'Explanation']
[10, 1, '1', 'Explanation']
[6, 10, '1', 'Research']
[15, 2, '-1', 'Explanation']
[6, 10, '-1', 'Others']
[14, 2, '-1', 'Explanation']
[4, 8, '-1', 'Case']
[11, 12, '-1', 'Explanation']
[7, 3, '-1', 'Case']
[6, 1, '-1', 'Research']
[9, 4, '1', 'Research']
[8, 11, '-1', 'Research']
[1, 9, '-1', 'Case']
[1, 5, '1', 'Explanation']
[1, 6, '-1', 'Research']
[13, 10, '-1', 'Explanation']
[13, 12, '1', 'Case']
[4, 8, '1', 'Case']
[9, 1, '1', 'Case']
[14, 8, '-1', 'Case']
[12, 14, '1', 'Research']
[1, 9, '1', 'Research']
[7, 15, '1', 'Expert']
[10, 3, '1', 'Explanation']
[13, 2, '1', 'Case']
[4, 10, '-1', 'Others']
[1, 5, '-1', 'Expert']
[14, 12, '1', 'Expert']
[11, 3, '-1', 'Research']
[15, 6, '-1', 'Case']
[14, 13, '1', 'Expert']
[3, 8, '-1', 'Expert']
[2, 6, '1', 'Case']
[8, 8, '-1', 'Others']
[11, 14, '-1', 'Others']
[12, 13, '1', 'Explanation']
[13, 8, '1', 'Explanation']
[5, 14, '1', 'Research']
[11, 8, '-1', 'Research']
[2, 6, '-1', 'Explanation']
[1, 1, '-1', 'Expert']
[6, 13, '1', 'Research']
[1, 4, '1', 'Others']
[5, 3, '-1', 'Research']
[3, 10, '-1', 'Others']
[15, 2, '-1', 'Explanation']
[11, 2, '-1', 'Others']
[11, 13, '-1', 'Case']
[10, 15, '-1', 'Case']
[14, 15, '-1', 'Others']
[5, 9, '1', 'Case']
[3, 15, '-1', 'Explanation']
[15, 9, '-1', 'Others']
[11, 1, '-1', 'Others']
[3, 4, '1', 'Expert']
[15, 8, '-1', 'Research']
[10, 5, '-1', 'Case']
[12, 4, '1', 'Research']
[2, 4, '1', 'Research']
[4, 9, '1', 'Expert']
[5, 2, '1', 'Explanation']
[9, 13, '-1', 'Explanation']
[6, 5, '-1', 'Case']
[10, 4, '-1', 'Expert']
[2, 9, '1', 'Research']
[10, 4, '1', 'Others']
[10, 14, '1', 'Explanation']
[2, 7, '-1', 'Expert']
[12, 1, '1', 'Case']
[5, 8, '-1', 'Others']
[15, 9, '1', 'Expert']
[9, 1, '1', 'Explanation']
[6, 5, '-1', 'Case']
[2, 8, '1', 'Others']
[2, 13, '1', 'Case']
[7, 6, '-1', 'Expert']
[9, 1, '-1', 'Research']
[3, 10, '1', 'Research']
[15, 9, '-1', 'Expert']
[6, 4, '-1', 'Case']
[15, 15, '1', 'Case']
[8, 9, '1', 'Explanation']
[6, 5, '1', 'Others']
[10, 6, '1', 'Case']
[5, 10, '-1', 'Expert']
[2, 8, '1', 'Others']
[6, 4, '1', 'Research']
[13, 9, '1', 'Research']
[4, 14, '-1', 'Expert']
[14, 13, '1', 'Others']
[14, 7, '-1', 'Expert']
[11, 3, '-1', 'Explanation']
[1, 14, '-1', 'Others']
[2, 13, '-1', 'Research']
[14, 6, '1', 'Explanation']
[12, 8, '1', 'Explanation']
[13, 13, '-1', 'Expert']
[5, 8, '1', 'Explanation']
[14, 7, '1', 'Research']
[8, 5, '1', 'Case']
[7, 8, '1', 'Others']
[10, 15, '-1', 'Expert']
[9, 8, '1', 'Others']
[12, 5, '-1', 'Others']
[10, 13, '1', 'Research']
[2, 6, '-1', 'Research']
[11, 7, '-1', 'Expert']
[12, 11, '-1', 'Research']
[8, 12, '-1', 'Others']
[7, 6, '-1', 'Case']
[14, 3, '-1', 'Case']
[10, 10, '-1', 'Research']
[15, 4, '1', 'Expert']
[4, 2, '-1', 'Expert']
[7, 2, '1', 'Expert']
[2, 11, '1', 'Case']
[1, 4, '1', 'Research']
[1, 1, '-1', 'Case']
[9, 10, '-1', 'Explanation']
[12, 6, '-1', 'Case']
[7, 1, '-1', 'Explanation']
[3, 15, '-1', 'Others']
[8, 4, '1', 'Case']
[2, 9, '1', 'Case']
[12, 11, '-1', 'Others']
[6, 8, '-1', 'Explanation']
[3, 10, '1', 'Research']
[4, 14, '1', 'Others']
[9, 11, '-1', 'Research']
[10, 5, '-1', 'Explanation']
[10, 12, '1', 'Explanation']
[7, 13, '-1', 'Research']
[4, 14, '-1', 'Research']
[15, 6, '-1', 'Case']
[14, 13, '1', 'Case']
[11, 13, '-1', 'Others']
[15, 11, '1', 'Others']
[12, 7, '1', 'Case']
[2, 15, '-1', 'Research']
[5, 13, '-1', 'Research']
[2, 14, '-1', 'Research']
[12, 14, '1', 'Research']
[5, 10, '1', 'Research']
[15, 5, '-1', 'Research']
[12, 8, '1', 'Research']
[14, 8, '-1', 'Case']
[7, 4, '-1', 'Explanation']
[1, 13, '1', 'Case']
[10, 11, '-1', 'Expert']
[1, 12, '-1', 'Explanation']
[10, 1, '-1', 'Others']
[11, 15, '1', 'Research']
[8, 2, '-1', 'Expert']
[3, 3, '1', 'Explanation']
[2, 10, '-1', 'Research']
[3, 15, '-1', 'Expert']
[7, 11, '1', 'Case']
[5, 5, '-1', 'Others']
[2, 2, '-1', 'Case']
[13, 1, '1', 'Others']
[7, 12, '-1', 'Expert']
[12, 2, '-1', 'Expert']
[13, 5, '-1', 'Case']
[4, 5, '-1', 'Case']
[14, 6, '1', 'Explanation']
[14, 11, '1', 'Research']
[1, 7, '1', 'Case']
[13, 15, '1', 'Others']
[3, 4, '-1', 'Others']
[1, 11, '-1', 'Case']
[8, 15, '-1', 'Explanation']
[13, 2, '-1', 'Expert']
[1, 12, '1', 'Explanation']
[15, 6, '-1', 'Explanation']
[11, 10, '1', 'Expert']
[14, 4, '-1', 'Research']
[1, 5, '-1', 'Expert']
[6, 13, '1', 'Others']
[4, 2, '1', 'Research']
[6, 3, '1', 'Explanation']
[7, 6, '-1', 'Expert']
[12, 9, '1', 'Expert']
[5, 11, '-1', 'Others']
[13, 5, '1', 'Others']
[1, 13, '1', 'Research']
[2, 5, '1', 'Explanation']
[6, 11, '1', 'Research']
[2, 7, '-1', 'Research']
[4, 9, '1', 'Research']
[12, 1, '-1', 'Explanation']
[13, 14, '1', 'Research']
[2, 11, '-1', 'Others']
[10, 13, '1', 'Explanation']
[6, 1, '-1', 'Case']
[14, 13, '1', 'Expert']
[10, 9, '1', 'Explanation']
[1, 12, '1', 'Research']
[13, 12, '1', 'Others']
[2, 8, '1', 'Expert']
[4, 3, '-1', 'Case']
[13, 4, '-1', 'Research']
[6, 5, '1', 'Explanation']
[9, 7, '1', 'Research']
[14, 9, '1', 'Explanation']
[9, 2, '-1', 'Explanation']
[15, 1, '1', 'Expert']
[9, 4, '1', 'Explanation']
[13, 11, '1', 'Research']
[8, 6, '1', 'Research']
[7, 4, '1', 'Expert']
[3, 2, '-1', 'Research']
[13, 7, '-1', 'Explanation']
[11, 8, '-1', 'Others']
[5, 7, '-1', 'Expert']
[11, 12, '1', 'Research']
[9, 4, '1', 'Research']
[6, 13, '-1', 'Others']
[12, 5, '1', 'Research']
[12, 14, '-1', 'Others']
[10, 10, '-1', 'Others']
[7, 4, '-1', 'Expert']
[12, 13, '1', 'Research']
[1, 10, '1', 'Research']
[2, 2, '-1', 'Others']
[8, 7, '-1', 'Others']
[1, 8, '1', 'Others']
[14, 10, '-1', 'Research']
[2, 14, '-1', 'Research']
[10, 10, '1', 'Others']
[9, 3, '-1', 'Research']
[14, 2, '1', 'Expert']
[6, 8, '-1', 'Explanation']
[14, 7, '1', 'Others']
[11, 7, '-1', 'Case']
[4, 9, '-1', 'Explanation']
[7, 6, '-1', 'Others']
[2, 10, '1', 'Research']
[8, 6, '1', 'Explanation']
[9, 11, '-1', 'Expert']
[8, 3, '1', 'Case']
[10, 6, '1', 'Others']
[4, 9, '1', 'Others']
[7, 5, '-1', 'Others']
[7, 7, '1', 'Explanation']
[12, 12, '1', 'Explanation']
[7, 11, '-1', 'Explanation']
[6, 5, '-1', 'Expert']
[2, 5, '1', 'Research']
[8, 11, '-1', 'Case']
[10, 9, '-1', 'Explanation']
[3, 3, '1', 'Expert']
[1, 12, '1', 'Research']
[8, 11, '-1', 'Research']
[13, 5, '1', 'Case']
[10, 6, '1', 'Research']
[13, 8, '1', 'Expert']
[7, 7, '1', 'Case']
[15, 3, '-1', 'Expert']
[10, 8, '-1', 'Expert']
[2, 3, '1', 'Case']
[13, 1, '1', 'Expert']
[11, 8, '-1', 'Explanation']
[14, 4, '-1', 'Explanation']
[12, 4, '-1', 'Explanation']
[7, 9, '1', 'Others']
[10, 1, '1', 'Explanation']
[4, 7, '-1', 'Expert']
[11, 8, '1', 'Others']
[5, 2, '1', 'Expert']
[5, 6, '-1', 'Others']
[8, 2, '1', 'Expert']
[6, 7, '1', 'Research']
[2, 13, '1', 'Research']
[1, 14, '1', 'Expert']
[7, 11, '1', 'Others']
[13, 9, '-1', 'Research']
[6, 2, '-1', 'Expert']
[5, 10, '-1', 'Expert']
[11, 8, '1', 'Research']
[9, 15, '1', 'Research']
[8, 4, '-1', 'Research']
[12, 13, '1', 'Others']
[2, 11, '1', 'Expert']
[12, 13, '1', 'Others']
[11, 11, '1', 'Explanation']
[11, 3, '-1', 'Research']
[13, 9, '-1', 'Case']
[8, 2, '-1', 'Explanation']
[6, 7, '-1', 'Research']
[8, 11, '-1', 'Research']
[1, 13, '-1', 'Explanation']
[1, 2, '1', 'Case']
[5, 9, '-1', 'Explanation']
[4, 11, '1', 'Explanation']
[2, 2, '-1', 'Research']
[15, 2, '1', 'Others']
[3, 3, '-1', 'Expert']
[7, 14, '1', 'Expert']
[14, 3, '1', 'Explanation']
[8, 7, '1', 'Case']
[1, 5, '1', 'Expert']
[7, 7, '1', 'Case']
[1, 12, '-1', 'Expert']
[12, 13, '-1', 'Research']
[14, 13, '1', 'Case']
[13, 7, '-1', 'Research']
[2, 1, '1', 'Explanation']
[10, 12, '1', 'Others']
[6, 13, '1', 'Explanation']
[12, 14, '-1', 'Case']
[7, 9, '1', 'Others']
[5, 15, '-1', 'Expert']
[8, 10, '1', 'Research']
[1, 13, '1', 'Research']
[8, 8, '-1', 'Others']
[9, 2, '-1', 'Case']
[4, 8, '1', 'Expert']
[3, 8, '1', 'Expert']
[6, 2, '1', 'Explanation']
[6, 14, '1', 'Research']
[1, 12, '-1', 'Research']
[13, 14, '-1', 'Case']
[6, 10, '1', 'Explanation']
[4, 7, '1', 'Others']
[7, 11, '1', 'Others']
[5, 9, '1', 'Others']
[14, 1, '1', 'Others']
[8, 7, '-1', 'Case']
[10, 14, '-1', 'Explanation']
[11, 6, '1', 'Others']
[14, 7, '1', 'Others']
[10, 4, '1', 'Expert']
[11, 3, '1', 'Expert']
[2, 13, '-1', 'Explanation']
[4, 5, '-1', 'Case']
[12, 11, '-1', 'Expert']
[14, 12, '1', 'Case']
[11, 2, '1', 'Research']
[9, 14, '-1', 'Research']
[12, 2, '1', 'Research']
[3, 11, '1', 'Case']
[2, 3, '-1', 'Expert']
[11, 13, '1', 'Expert']
[1, 4, '-1', 'Case']
[3, 1, '-1', 'Research']
[8, 4, '1', 'Expert']
[10, 12, '1', 'Expert']
[9, 3, '1', 'Research']
[5, 9, '-1', 'Others']
[13, 5, '1', 'Case']
[6, 2, '1', 'Explanation']
[7, 9, '1', 'Research']
[15, 9, '1', 'Explanation']
[1, 2, '-1', 'Case']
[12, 12, '-1', 'Research']
[2, 8, '-1', 'Research']
[5, 13, '-1', 'Research']
[2, 3, '-1', 'Research']
[2, 7, '1', 'Case']
[3, 10, '1', 'Expert']
[1, 7, '1', 'Expert']
[4, 1, '-1', 'Others']
[12, 10, '1', 'Explanation']
[6, 10, '-1', 'Expert']
[3, 11, '1', 'Others']
[15, 3, '-1', 'Case']
[10, 5, '1', 'Expert']
[5, 3, '1', 'Research']
[11, 5, '1', 'Explanation']
[3, 13, '1', 'Others']
[6, 2, '1', 'Explanation']
[6, 3, '-1', 'Explanation']
[6, 11, '-1', 'Case']
[4, 8, '-1', 'Explanation']
[9, 3, '-1', 'Explanation']
[5, 4, '-1', 'Research']
[13, 6, '-1', 'Case']
[6, 3, '-1', 'Research']
[12, 10, '-1', 'Expert']
[1, 7, '-1', 'Explanation']
[11, 4, '-1', 'Research']
[3, 15, '-1', 'Case']
[5, 4, '-1', 'Research']
[12, 10, '-1', 'Others']
[12, 3, '1', 'Expert']
[1, 12, '1', 'Expert']
[14, 13, '-1', 'Explanation']
[15, 13, '-1', 'Others']
[5, 13, '1', 'Others']
[12, 5, '1', 'Others']
[3, 9, '-1', 'Others']
[11, 4, '-1', 'Others']
[2, 5, '1', 'Case']
[6, 11, '-1', 'Expert']
[5, 13, '1', 'Research']
[7, 5, '1', 'Expert']
[2, 15, '1', 'Case']
[9, 15, '1', 'Expert']
[5, 2, '1', 'Others']
[12, 15, '1', 'Research']
[8, 10, '1', 'Case']
[14, 14, '-1', 'Expert']
[7, 9, '1', 'Explanation']
[4, 6, '1', 'Others']
[9, 14, '1', 'Research']
[3, 4, '-1', 'Research']
[14, 8, '1', 'Explanation']
[5, 5, '1', 'Explanation']
[11, 11, '1', 'Research']
[6, 1, '1', 'Others']
[15, 1, '-1', 'Others']
[11, 5, '1', 'Expert']
[11, 13, '-1', 'Case']
[6, 12, '1', 'Expert']
[10, 15, '-1', 'Expert']
[2, 15, '1', 'Others']
[10, 6, '-1', 'Research']
[13, 13, '1', 'Others']
[2, 13, '1', 'Research']
[13, 1, '1', 'Research']
[8, 14, '-1', 'Explanation']
[14, 5, '1', 'Others']
[9, 11, '-1', 'Explanation']
[2, 4, '-1', 'Case']
[1, 1, '1', 'Research']
[7, 2, '1', 'Expert']
[11, 14, '1', 'Expert']
[8, 9, '-1', 'Research']
[7, 8, '1', 'Research']
[11, 10, '-1', 'Case']
[7, 15, '1', 'Case']
[2, 3, '1', 'Others']
[8, 7, '-1', 'Research']
[14, 11, '-1', 'Expert']
[5, 12, '1', 'Explanation']
[1, 1, '1', 'Others']
[2, 14, '-1', 'Case']
[2, 8, '-1', 'Research']
[13, 13, '-1', 'Case']
[4, 1, '-1', 'Explanation']
[15, 15, '-1', 'Case']
[15, 7, '-1', 'Expert']
[1, 3, '1', 'Others']
[12, 1, '-1', 'Case']
[2, 6, '-1', 'Expert']
[14, 15, '-1', 'Explanation']
[14, 11, '-1', 'Research']
[7, 7, '1', 'Research']
[3, 1, '1', 'Research']
[12, 1, '1', 'Explanation']
[9, 3, '1', 'Explanation']
[1, 4, '-1', 'Case']
[11, 14, '-1', 'Case']
[2, 15, '1', 'Expert']
[1, 12, '1', 'Expert']
[5, 2, '1', 'Research']
[11, 7, '-1', 'Others']
[1, 6, '1', 'Expert']
[14, 12, '1', 'Research']
[3, 8, '-1', 'Explanation']
[7, 8, '1', 'Expert']
[6, 15, '1', 'Explanation']
[2, 5, '-1', 'Research']
[8, 9, '-1', 'Case']
[9, 11, '1', 'Explanation']
[11, 4, '-1', 'Explanation']
[5, 13, '-1', 'Case']
[1, 8, '1', 'Others']
[2, 12, '-1', 'Expert']
[8, 11, '1', 'Research']
[6, 5, '1', 'Others']
[10, 7, '1', 'Explanation']
[12, 2, '-1', 'Expert']
[5, 7, '1', 'Research']
[11, 4, '-1', 'Others']
[4, 6, '1', 'Research']
[5, 1, '1', 'Expert']
[15, 2, '-1', 'Expert']
[2, 6, '1', 'Expert']
[1, 11, '-1', 'Others']
[11, 14, '-1', 'Explanation']
[10, 1, '1', 'Expert']
[6, 11, '1', 'Explanation']
[15, 12, '-1', 'Case']
[15, 15, '1', 'Expert']
[12, 1, '-1', 'Research']
[8, 9, '-1', 'Research']
[2, 5, '1', 'Explanation']
[7, 5, '1', 'Others']
[9, 4, '-1', 'Research']
[12, 14, '1', 'Others']
[12, 9, '1', 'Others']
[4, 7, '-1', 'Others']
[7, 7, '-1', 'Others']
[8, 2, '1', 'Others']
[13, 12, '-1', 'Others']
[7, 12, '-1', 'Others']
[15, 11, '1', 'Others']
[14, 5, '-1', 'Others']
[4, 13, '-1', 'Explanation']
[3, 9, '-1', 'Research']
[2, 5, '1', 'Case']
[13, 7, '-1', 'Expert']
[13, 1, '1', 'Others']
[2, 14, '-1', 'Explanation']
[9, 5, '1', 'Others']
